|raw_number|content|negative|neutral|positive|compound
92|#093 (02/24/64)|A former patient on the ward named Romanolo was seated by me. I was standing. He was complimenting me about something I had done. (There had been a personality conflict between us, but something about him attracted me to him. His sophisticated air annoyed me. He was later killed while attempting a burglary. His constant concern about my welfare also annoyed me. When I showed annoyance, he insulted and derided me.) |0.253|0.635|0.112|-0.9267
93|#094 (02/25/64)|Some women were tuck-pointing a two-story building, and painting the tuck-pointing white. |0.0|1.0|0.0|0.0
94|#095 (02/26/64)|A man repaired a drinking faucet, but it exploded because of a loose wire in the wiring. He pulled a wire out, and the fountain glowed from no apparent source. I told the others in the building about what had happened at the drinking fountain. I said it was fortunate that no one else held the fountain on for a long time like that worker had. |0.112|0.796|0.093|-0.1154
95|#096 (02/27/64)|A man and his son, who was about ten, tied an elephant aboard a boat, and then they sailed down the river. Later I saw the boy on a the shore riding a bucking horse. He almost fell off. |0.0|0.972|0.028|0.0258
96|#097 (02/28/64)|I was working in a printing plant. |0.0|1.0|0.0|0.0
97|#098 (02/29/64)|There was a large lobby and a large hallway. A young boy and I became friendly and I played the passive role in an act of fellatio. When he had left me, I notice dried semen on my legs, and I surmised it was the boy's, because it could not have been mine. |0.0|0.852|0.148|0.7579
98|#099 (03/01/64)|I was carrying some cleaning equipment. Later I was confined in a hospital and was looking for an exit so I could elope. I came to a large room with a high ceiling. There was an exit there, but there were some distinguished looking men there who looked like judges, and I was afraid to leave. Later I was walking up a stairway feeling remorseful for having gotten into trouble and having been sent to the hospital because of it. |0.083|0.86|0.057|-0.296
99|#100 (03/02/64)|A man who owned a fish market was showing a movie at his store about how he traveled the country to get his fish. I showed him a transparent fish. He said he would return shortly to examine it. Before he returned, the fish shriveled up. |0.0|1.0|0.0|0.0
100|#101 (03/03/64)|I was walking through deserted streets. I went into a department store and rode on an elevator with some friendly high school girls. Later I told my mother about the girls, but she did not approve of my talking to them. |0.0|0.95|0.05|0.2732
101|#102 (03/04/64)|I was walking on the sidewalk. A girl about 12, clad only in a panty, was walking ahead of me. The panty fell. She left it there and walked across the street unclad. |0.0|1.0|0.0|0.0
102|#103 (03/05/64)|My sister and I were in a room together, lying in separate beds. I urinated an unusually great amount. |0.137|0.686|0.177|0.2484
103|#104 (03/06/64)|An owner of a plant said he was going to make his plant building the best looking in the country. Later I was on a streetcar riding past some beautiful old buildings and courtyards with fountains spraying water. |0.0|0.816|0.184|0.8442
104|#105 (03/07/64)|I was in a bed unclad. A man was talking with a southern accent. Someone else was there and seemed to be plotting something with someone else. |0.0|1.0|0.0|0.0
105|#106 (03/08/64)|I was working at a printing plant. A large press was there, but I couldn't get it to operate. My mother came with clothes to change into. I was undressing and clad only in my shirt when I recalled a small container that I wanted to take with me when I left with my mother. I looked around the room for it, still clad only in the shirt. |0.0|1.0|0.0|0.0
106|#107 (03/09/64)|I looked over a policy with my sister. We found nothing wrong with it. |0.0|0.836|0.164|0.3724
107|#108 (03/10/64)|I was getting dressed to go swimming in a pool with my sister. I was annoyed because I kept forgetting to put on something. |0.102|0.898|0.0|-0.3818
108|#109 (03/11/64)|I was walking through the streets looking for a supermarket that I had been to once. I met my mother and after walking past some buildings, we found the store. I noted that it took us _ hour to get there, but I recalled that the last time it had taken me only 5 minutes to get there. My sister had a bag which she said held groceries. |0.0|1.0|0.0|0.0
109|#110 (03/11/64)|Another dream (which preceded this one) took place at an intersection of a highway where I was standing guard. I was due to leave the post at 9:30, but I left at 9:20. Then after walking several minutes, I decided that I had left too early, so I went back. |0.022|0.949|0.03|0.1027
110|#111 (03/12/64)|I was competing in a spelling test. |0.0|1.0|0.0|0.0
111|#112 (03/13/64)|I went into a building to put something back. (The man in charge of the building was the charge officer on my ward.) |0.0|1.0|0.0|0.0
112|#113 (03/14/64)|I was driving a car, and a little girl stepped into the car's path. I hurt my knee trying to swerve to avoid her. I drove on, but a little later I stopped and sat in the car reflecting on what a terrible thing had happened, and I was hoping that the girl was not hurt. |0.147|0.743|0.109|-0.1382
113|#114 (03/14/64)|In a dream just before that one, I made some kind of mistake, but it had not been serious. |0.089|0.774|0.137|-0.0035
114|#115 (03/15/64)|I was on a porch with a boy and a girl. They were calling to a man. |0.0|1.0|0.0|0.0
115|#116 (03/16/64)|I was in a building with a high ceiling and pillars holding it up. There were two halls. One was very artistically designed. There was a balcony and some women were up there holding a meeting. |0.0|1.0|0.0|0.0
116|#117 (03/17/64)|I was discussing something with some others, and I was saying that I must have the basic, fundamental causes and motives. |0.0|1.0|0.0|0.0
117|#118 (03/18/64)|I was on the ledge of a snow-covered cliff. Policemen were looking for a criminal. They saw me just as I was pulling up my trousers. I was embarrassed. There were two other men near me, and the policemen took one of them prisoner. |0.187|0.813|0.0|-0.8555
118|#119 (03/19/64)|I saw a truck in front of a garage, and I pushed it into the garage. The driver was angry at me for doing it. |0.121|0.879|0.0|-0.5106
119|#120 (03/20/64)|A girl was there. I saw her panty. |0.0|1.0|0.0|0.0
120|#121 (03/21/64)|I was going up an escalator. In the dream that followed, I was in a hospital. I was going to Holy Communion with a girl about 14. Later I saw a window with no bars, and I was tempted to elope. (The dream ended while I was deciding.) |0.043|0.879|0.078|0.2023
121|#122 (03/22/64)|I was trying to repair a leak in a boiler pipe. |0.194|0.806|0.0|-0.34
122|#123 (03/23/64)|A young nude woman was trying to commit suicide by hanging herself by the neck. She turned upside down. |0.19|0.717|0.093|-0.5106
123|#124 (03/24/64)|I had to repair a printing press. |0.0|1.0|0.0|0.0
124|#125 (03/25/64)|I had soiled my clothing with excrement. I looked for some clothing to change into. I saw a green silk shirt with squares. I found a tie to match, but someone said it belonged to someone else. |0.0|1.0|0.0|0.0
125|#126 (03/26/64)|I was in a building with other people. Big rats were coming through the walls. I plugged up the holes they had made in the walls. |0.0|1.0|0.0|0.0
126|#127 (03/27/64)|I was in a modern house owned by a man. A room had been converted into a garage. Angular halls led to a wall where there were 2 valves, one for oil and the other for water. A young woman wanted some oil. I turned the water valve by mistake and the oil and water mixed. A fuss blew, and I had to go and buy another. I had a 4 dollar bill, but I didn't want to change it, so I looked for other money in my wallet. (When I awoke, I thought it odd that I had a $4 bill.) |0.057|0.943|0.0|-0.6102
127|#128 (03/29/64)|I met my sister on a cliff. |0.0|1.0|0.0|0.0
128|#129 (03/30/64)|I stole some electrical supplies from a house. Some teenage boys were there. I held a gun on them and told them to keep their distance, but they just ridiculed me. |0.146|0.854|0.0|-0.6059
129|#130 (04/01/64)|I was in a long, narrow room. There was a large drain attached to a piece of machinery. I started to urinate there, but a woman came and she was annoyed and told me to go to the other end of the room. The woman was dark-complected and attractive. |0.063|0.866|0.071|0.1154
130|#131 (04/02/64)|I was with my sister. We tried to catch a bus, but I missed it. I then walked along a street that fascinated me. |0.097|0.76|0.143|0.3291
131|#132 (04/03/64)|"A patient on the ward who is a homosexual appeared in this dream. He flirted with me and wanted me to be his ""husband."" Some girls came, and one, about 10, showed me a rosary, and asked me if I wanted it. "|0.028|0.921|0.052|0.2617
132|#133 (04/04/64)|Two strangers, a man and a woman, were in trouble. |0.231|0.769|0.0|-0.4019
133|#134 (04/05/64)|I was with my sister riding home from a movie in a streetcar. We talked about the movie. Later at a citizens club, people were giving their names. |0.0|0.918|0.082|0.34
134|#135 (04/05/64)|A swimming pool had colored. They turned off. Just then I decided to go in the pool. A man said I didn't have much time because they were closing. I had no trunks, so I went in my shorts. I tried to make a graceful dive, but I was a little awkward. |0.057|0.906|0.037|-0.0156
135|#136 (04/06/64)|I dreamt about a printing press, and then I dreamt I was in a dance hall. I saw the back of a young woman. I wondered how she looked in front, so I turned her around. And then I danced with her. She was a brunette. |0.0|1.0|0.0|0.0
136|#137 (04/07/64)|I saw a young boy I wanted him to sit on my lap. |0.0|1.0|0.0|0.0
137|#138 (04/08/64)|I went in a store to buy something. I was told it was the wrong place. There were no fixtures, and it looked like some kind of hospital. |0.162|0.762|0.076|-0.4215
138|#139 (04/09/64)|I was in a hospital as a patient. I saw an exit unguarded, and I was tempted to elope. |0.0|1.0|0.0|0.0
139|#140 (04/10/64)|I was with other patients in a hospital. Some of the men were talking to the women patients. An attendant said there is too much talking. Later a patient was transferred during the night. |0.0|1.0|0.0|0.0
140|#141 (04/11/64)|I was in a hospital. The employees left, but I had to stay. A friendly black-haired girl about 10 spoke to me. (I had seen her in frequent previous dreams at various ages.) |0.0|0.798|0.202|0.8338
141|#142 (04/12/64)|I was confined in a hospital. I saw a way to elope through the floorboards. |0.0|1.0|0.0|0.0
142|#143 (04/13/64)|I was with my mother and sister. We moved to another house. My mother asked me if I had any friends from our old neighborhood. I said I never had any except the Braun boys. (These were 2 German boys about 9 and 10 whom I knew as a boy in [my home state]. Our friendship ended because of something I did, but I don't recall what it was.) |0.0|0.944|0.056|0.4588
143|#144 (04/14/64)|I was a student. I was taking a test. Someone corrected me on something. |0.0|1.0|0.0|0.0
144|#145 (04/15/64)|"I was on a bus going on an errand. A nude woman was sitting in front of a house. She smiled and said, ""Do you like it?"" The bus drove on. "|0.0|0.829|0.171|0.7184
145|#146 (04/16/64)|I awakened in a hospital dormitory where other men were also sleeping. We arose and went to the dining hall. Doctor Growth (a doctor in charge of a ward where I was formerly assigned) treated us, and joked with us. |0.0|0.886|0.114|0.5994
146|#147 (04/17/64)|I was in my army uniform walking among a crowd in an amusement park. I had a tube of liquid in my hat. I met a man and he helped me to mix the liquid with a substance to make it crystallize. |0.0|0.943|0.057|0.3612
147|#148 (04/19/64)|I was with my mother and sister, buying something at the store. |0.0|1.0|0.0|0.0
148|#149 (04/21/64)|I was in house with my mother. A man drove our car away. My mother was annoyed. She said he must have borrowed it. The house was like the one we lived in when we resided in my home state. A baby was sleeping in an enclosed part of the porch. I pulled up the shade. My mother was annoyed. She said she didn't want the light to come in. A little later, a dog slinked into the room, and I could tell it was part fox. I told my sister. |0.067|0.907|0.026|-0.4445
149|#150 (04/23/64)|I was a member of a club. There was a special meeting about something I had done. I was not reprimanded, because no harm was done. |0.0|0.812|0.188|0.6757
150|#151 (04/24/64)|I came to a row of booths. I found something in one of them. Then some college students came and said that I had stolen something they had left there. |0.099|0.901|0.0|-0.4939
151|#152 (04/26/64)|My mother and I were in a hospital ward. We left for a medical exam. |0.0|1.0|0.0|0.0
152|#153 (04/28/64)|A patient named Dumbler appeared in this dream. We were confined in an institution. We wanted to go somewhere, but he could not get his head through the bars, so we thought he couldn't go. Then a nurse came and opened the door for us. |0.0|0.964|0.036|0.1593
153|#154 (04/29/64)|My mother and I were sitting on the bleachers in a stadium. My mother showed me some prose and said I had written it while I was in the hospital. I said that I didn't recall writing any literature in the hospital. She said it was taken from my work. |0.0|1.0|0.0|0.0
154|#155 (04/30/64)|"I met a dark-haired woman about my age. We fell in love and kissed secretly in a downstairs room of her house. We had to keep out of sight of her mother. Her mother came in upon us, and she was angry about my advances. She said, ""I know what kind of place you came from. Girls in bikinis."" I replied that she had misjudged me. "|0.045|0.862|0.093|0.5423
155|#156 (05/01/64)|I gave a frog to a dog. |0.0|1.0|0.0|0.0
156|#157 (05/02/64)|I was waiting in a line. I had difficulty holding my urine. |0.179|0.821|0.0|-0.34
157|#158 (05/03/64)|My mother got 2 tickets for a vacation from her union. She and my sister went on the vacation. I could not go because she could not get a third ticket. My mother was wearing an old hat. |0.0|1.0|0.0|0.0
158|#159 (05/03/64)|I was waiting to take a shower. A man was there and I asked him if he were finished. |0.0|1.0|0.0|0.0
159|#160 (05/03/64)|I caught a small bird. When I started to touch it, it shivered. It squirmed in my hand as I held it. |0.0|0.868|0.132|0.4939
160|#161 (05/04/64)|I was a hospital patient working on some shelves. I was looking for some willow branches when I was called for an interview. I hurried and changed into clean clothing. An attendant corrected me about something. |0.0|0.928|0.072|0.4019
